cl,week,price,b1,b2
Walmart,19,37,Hersheys,Product1
7 eleven,27,48,Kisses,Product2
Kmart,36,22,Bites,Product3
OXXO,28,7,Jolly Rancher,Product4
Soriana,28,7,Jolly Rancher,Product4
Chedraui,28,7,Jolly Rancher,Product4
WholeFoods,28,7,Jolly Rancher,Product4
Walmart,27,30,Bites,Product5
8 eleven,25,42,Hersheys,Product6
Kmart,25,37,Hersheys,Product7
OXXO,25,41,Hersheys,Product8
Soriana,14,17,Pelon,Product9
Chedraui,34,51,Kisses,Product10
WholeFoods,25,40,Hersheys,Product11
Walmart,14,17,Pelon,Product9
9 eleven,17,19,Pelon,Product12
Kmart,17,19,Pelon,Product12
OXXO,17,19,Pelon,Product12
Soriana,48,17,Cocoa,Product13
Chedraui,17,19,Pelon,Product12
WholeFoods,17,19,Pelon,Product12
Walmart,17,19,Pelon,Product12
10 eleven,17,19,Pelon,Product12
Kmart,16,19,Pelon,Product14
OXXO,18,58,Reeses,Product15
Soriana,50,22,Bites,Product16
Chedraui,50,33,Kit Kat,Product17
WholeFoods,50,33,Kit Kat,Product18
Walmart,50,100,Seasons,Product19
11 eleven,50,115,Seasons,Product20
Kmart,50,110,Seasons,Product21
OXXO,50,125,Seasons,Product22
Soriana,50,140,Seasons,Product23
Chedraui,50,108,Seasons,Product24
WholeFoods,50,102,Seasons,Product25
Walmart,15,43,Kit Kat,Product26
12 eleven,52,135,Seasons,Product27
Kmart,50,114,Seasons,Product28
OXXO,50,137,Seasons,Product29
Soriana,50,42,Kit Kat,Product30
Chedraui,50,34,Kit Kat,Product31
WholeFoods,50,33,Kit Kat,Product32
Walmart,50,37,Kit Kat,Product33
13 eleven,50,34,Kit Kat,Product34
Kmart,50,10,Almond Joy,Product35
OXXO,50,15,Almond Joy,Product36
Soriana,15,30,Kit Kat,Product37
Chedraui,51,45,Kit Kat,Product38
WholeFoods,51,30,Kit Kat,Product39
Walmart,52,53,Milk,Product40
14 eleven,51,38,Kit Kat,Product41
Kmart,51,30,Hersheys,Product42
OXXO,51,51,Kisses,Product43
Soriana,51,30,Kit Kat,Product44
Chedraui,51,15,Almond Joy,Product45
WholeFoods,52,40,Kit Kat,Product46
Walmart,52,27,Bites,Product47
15 eleven,51,12,Almond Joy,Product48
Kmart,51,40,Kisses,Product49
OXXO,51,47,Kisses,Product50
Soriana,51,20,Bites,Product51
Chedraui,51,7,Jolly Rancher,Product52
WholeFoods,52,46,Kisses,Product53
Walmart,52,14,Pelon,Product54
16 eleven,51,102,Seasons,Product55
Kmart,51,127,Seasons,Product56
OXXO,51,112,Seasons,Product57
Soriana,51,130,Seasons,Product58
Chedraui,51,108,Seasons,Product59
WholeFoods,51,140,Seasons,Product60
Walmart,51,104,Seasons,Product61
17 eleven,51,132,Seasons,Product62
Kmart,51,115,Seasons,Product63
OXXO,52,125,Seasons,Product64
Soriana,52,116,Seasons,Product65
Chedraui,52,122,Seasons,Product66
WholeFoods,51,125,Seasons,Product67
Walmart,51,134,Seasons,Product68
18 eleven,51,113,Seasons,Product69
Kmart,51,119,Seasons,Product70
OXXO,51,109,Seasons,Product71
Soriana,51,105,Seasons,Product72
Chedraui,51,111,Seasons,Product73
WholeFoods,51,112,Seasons,Product74
Walmart,51,101,Seasons,Product75
19 eleven,51,139,Seasons,Product76
Kmart,51,114,Seasons,Product77
OXXO,51,135,Seasons,Product78
Soriana,51,16,Pelon,Product79
Chedraui,51,16,Pelon,Product80
WholeFoods,51,16,Pelon,Product81
Walmart,52,15,Pelon,Product82
20 eleven,52,119,Seasons,Product83
Kmart,52,148,Seasons,Product84
OXXO,52,102,Seasons,Product85
Soriana,51,20,Cocoa,Product86
Chedraui,51,102,Seasons,Product87
WholeFoods,52,123,Seasons,Product88
Walmart,52,101,Seasons,Product89
21 eleven,52,19,Pelon,Product90
Kmart,52,14,Pelon,Product91
OXXO,53,51,Reeses,Product92
Soriana,53,50,Reeses,Product93
Chedraui,53,45,Reeses,Product94
WholeFoods,52,17,Pelon,Product95
Walmart,55,15,Pelon,Product96
22 eleven,18,45,Kit Kat,Product97
Kmart,50,118,Seasons,Product98
OXXO,50,108,Seasons,Product99
Soriana,50,113,Seasons,Product100
Chedraui,50,138,Seasons,Product101
WholeFoods,50,145,Seasons,Product102
Walmart,53,47,Reeses,Product103
23 eleven,53,55,Reeses,Product104
Kmart,53,60,Reeses,Product105
OXXO,52,31,Kit Kat,Product106
Soriana,52,12,Almond Joy,Product107
Chedraui,52,37,Kisses,Product108
WholeFoods,52,37,Kit Kat,Product109
Walmart,52,35,Kit Kat,Product110
24 eleven,52,14,Almond Joy,Product111
Kmart,15,45,Kit Kat,Product97
OXXO,53,10,Almond Joy,Product112
Soriana,53,134,Seasons,Product113
Chedraui,53,41,Kit Kat,Product114
WholeFoods,53,15,Almond Joy,Product115
Walmart,54,11,Almond Joy,Product116
25 eleven,54,10,Almond Joy,Product117
Kmart,53,141,Seasons,Product118
OXXO,53,111,Seasons,Product119
Soriana,53,132,Seasons,Product120
Chedraui,53,143,Seasons,Product121
WholeFoods,53,120,Seasons,Product122
Walmart,53,124,Seasons,Product123
26 eleven,53,13,Almond Joy,Product124
Kmart,53,40,Kisses,Product125
OXXO,54,47,Kisses,Product126
Soriana,55,43,Kisses,Product127
Chedraui,51,43,Kit Kat,Product128
WholeFoods,59,52,Kisses,Product129
Walmart,53,52,Kisses,Product130
27 eleven,53,39,Kit Kat,Product131
Kmart,53,35,Kit Kat,Product132
OXXO,53,51,Kisses,Product133
Soriana,53,51,Kisses,Product134
Chedraui,53,146,Seasons,Product135
WholeFoods,53,127,Seasons,Product136
Walmart,53,142,Seasons,Product137
28 eleven,53,118,Seasons,Product138
Kmart,53,19,Pelon,Product139
OXXO,53,17,Pelon,Product140
Soriana,53,50,Milk,Product141
Chedraui,54,15,Pelon,Product142
WholeFoods,54,17,Pelon,Product143
Walmart,54,42,Kit Kat,Product144
29 eleven,55,37,Kit Kat,Product145
Kmart,55,12,Almond Joy,Product146
OXXO,55,11,Almond Joy,Product147
Soriana,55,27,Bites,Product148
Chedraui,55,48,Kisses,Product149
WholeFoods,56,14,Almond Joy,Product150
Walmart,56,11,Almond Joy,Product151
30 eleven,56,48,Kisses,Product152
Kmart,56,39,Hersheys,Product153
OXXO,56,45,Kisses,Product154
Soriana,57,48,Kisses,Product155
Chedraui,57,38,Hersheys,Product156
WholeFoods,57,10,Almond Joy,Product157
Walmart,57,50,Kisses,Product158
31 eleven,57,12,Almond Joy,Product159
Kmart,57,39,Kisses,Product160
OXXO,56,45,Hersheys,Product161
Soriana,57,41,Kisses,Product162
Chedraui,57,52,Kisses,Product163
WholeFoods,58,29,Bites,Product164
Walmart,58,34,Kit Kat,Product165
32 eleven,58,14,Almond Joy,Product166
Kmart,58,36,Kisses,Product167
OXXO,58,43,Hersheys,Product168
Soriana,58,12,Almond Joy,Product169
Chedraui,58,18,Pelon,Product170
WholeFoods,25,46,Reeses,Product171
Walmart,57,36,Kisses,Product172
33 eleven,52,38,Hersheys,Product173
Kmart,53,34,Hersheys,Product174
OXXO,53,42,Hersheys,Product175
Soriana,54,30,Hersheys,Product176
Chedraui,55,38,Hersheys,Product177
WholeFoods,51,37,Kit Kat,Product178
Walmart,17,34,Kit Kat,Product179
34 eleven,59,6,Jolly Rancher,Product180
Kmart,59,43,Hersheys,Product181
OXXO,59,11,Almond Joy,Product182
Soriana,59,47,Kisses,Product183
Chedraui,59,23,Bites,Product184
WholeFoods,59,51,Kisses,Product185
Walmart,59,10,Almond Joy,Product186
35 eleven,59,15,Pelon,Product187
Kmart,60,100,Seasons,Product188
OXXO,60,37,Hersheys,Product189
Soriana,60,30,Kit Kat,Product190
Chedraui,60,46,Kisses,Product191
WholeFoods,60,11,Almond Joy,Product192
Walmart,60,18,Pelon,Product193
36 eleven,61,21,Bites,Product194
Kmart,61,45,Hersheys,Product195
OXXO,61,15,Almond Joy,Product196
Soriana,61,47,Kisses,Product197
Chedraui,61,14,Almond Joy,Product198
